,Cumulative Return,AR (%),AV (%),SR,MDD (%),MSE,MAE,IC,ICIR
Trend Following,-22.98,-116.29,32.98,-3.59,1361.29,,,,
Event-Driven Trading,-12.95,-60.08,30.29,-2.05,,,,,
Evaluation Metrics,,,,,,10449920452933.703,2633240.2067862577,-0.048595303667531085,-0.9788496561494027
