,Cumulative Return,AR (%),AV (%),SR,MDD (%),MSE,MAE,IC,ICIR,DIRECTION ACCURACY,HIT-UP,HIT-DOWN
Trend Following,-9.26,-219.92,32.5,-6.83,962.66,,,,,,,
Event-Driven Trading,-6.88,-161.32,27.68,-5.9,709.54,,,,,,,
Evaluation Metrics,,,,,,40631269451874.97,5996950.658803864,-0.07387664411688852,-0.5497407768508751,0.46174142480211083,0.4639175257731959,0.46195652173913043
