,Cumulative Return,AR (%),AV (%),SR,MDD (%),MSE,MAE,IC,ICIR,DIRECTION ACCURACY,HIT-UP,HIT-DOWN
Trend Following,-100.07,-134.91,147.53,-0.93,,,,,,,,
Event-Driven Trading,-100.07,-136.25,147.51,-0.94,,,,,,,,
Evaluation Metrics,,,,,,4.921512790655167e+30,738682240570769.5,-0.015834954909714812,-0.19702838463584846,0.4972067039106145,0.5520833333333334,0.43373493975903615
