,Cumulative Return,AR (%),AV (%),SR,MDD (%),MSE,MAE,IC,ICIR,DIRECTION ACCURACY,HIT-UP,HIT-DOWN
Trend Following,-5.63,-129.61,30.36,-4.33,370.52,,,,,,,
Event-Driven Trading,-9.02,-216.09,24.27,-8.99,0.0,,,,,,,
Evaluation Metrics,,,,,,119653032482689.33,10580685.345249427,-0.0675942274331387,-0.5318615066437896,0.503957783641161,0.5,0.5108695652173914
