,Cumulative Return,AR (%),AV (%),SR,MDD (%),MSE,MAE,IC,ICIR,DIRECTION ACCURACY,HIT-UP,HIT-DOWN
Trend Following,-15.71,-91.22,32.49,-2.87,,,,,,,,
Event-Driven Trading,-13.62,-77.95,30.59,-2.61,,,,,,,,
Evaluation Metrics,,,,,,144035194444642.53,10397954.091512699,-0.035889621204862505,-0.41718040634516074,0.519280205655527,0.4725274725274725,0.5603864734299517
