Timestamp,Open,High,Low,Close,Volume
2025-03-01 00:00:00,121698000.0,123564000.0,121520000.0,123536000.0,109.61060364
2025-03-01 00:15:00,123540000.0,125400000.0,123405000.0,125341000.0,296.88805115
2025-03-01 00:30:00,125400000.0,125411000.0,124091000.0,124200000.0,160.21766389
2025-03-01 00:45:00,124200000.0,124800000.0,124181000.0,124479000.0,64.58087225
2025-03-01 01:00:00,124479000.0,124656000.0,123294000.0,123593000.0,82.72702011
2025-03-01 01:15:00,123588000.0,123886000.0,123405000.0,123548000.0,40.99854014
2025-03-01 01:30:00,123502000.0,125342000.0,123398000.0,125134000.0,78.5222179
2025-03-01 01:45:00,125092000.0,125179000.0,124231000.0,124738000.0,46.62957827
2025-03-01 02:00:00,124738000.0,124860000.0,124100000.0,124241000.0,33.12767263
2025-03-01 02:15:00,124241000.0,124551000.0,123777000.0,124371000.0,26.04628551
2025-03-01 02:30:00,124322000.0,124391000.0,123389000.0,123484000.0,16.74164434
2025-03-01 02:45:00,123429000.0,123873000.0,123294000.0,123353000.0,24.43961281
2025-03-01 03:00:00,123353000.0,123744000.0,123300000.0,123744000.0,14.68392909
2025-03-01 03:15:00,123690000.0,124100000.0,122725000.0,123470000.0,50.74915469
2025-03-01 03:30:00,123470000.0,125177000.0,123367000.0,124543000.0,36.20247835
2025-03-01 03:45:00,124543000.0,125400000.0,124407000.0,124610000.0,36.98314893
2025-03-01 04:00:00,124610000.0,125049000.0,124349000.0,124510000.0,27.26509699
2025-03-01 04:15:00,124511000.0,125000000.0,124510000.0,124746000.0,25.40392063
2025-03-01 04:30:00,124758000.0,125350000.0,124734000.0,125258000.0,22.81837285
2025-03-01 04:45:00,125329000.0,125334000.0,124754000.0,125042000.0,16.60527801
2025-03-01 05:00:00,124937000.0,125317000.0,124775000.0,124935000.0,10.42803829
2025-03-01 05:15:00,124984000.0,125096000.0,123754000.0,124138000.0,28.76718672
2025-03-01 05:30:00,124199000.0,124200000.0,123757000.0,123959000.0,13.62784366
2025-03-01 05:45:00,123959000.0,124856000.0,123773000.0,124507000.0,22.73658587
2025-03-01 06:00:00,124524000.0,124800000.0,124300000.0,124747000.0,17.41182793
2025-03-01 06:15:00,124747000.0,124800000.0,124421000.0,124515000.0,13.04921492
2025-03-01 06:30:00,124515000.0,124548000.0,124096000.0,124451000.0,16.94444945
